address,phone,alert,closed,pharmacyOnly
"3201 N BROADWAY ST
CHICAGO, IL 60657
",773-327-3591,,FALSE,FALSE
"3110 W ARMITAGE AVE
CHICAGO, IL 60647
",773-235-6758,,FALSE,FALSE
"2001 N MILWAUKEE AVE
CHICAGO, IL 60647
",773-772-2370,This store is closed temporarily,TRUE,FALSE
"740 W DIVERSEY PKWY
CHICAGO, IL 60614
",773-929-1097,,FALSE,FALSE
"5140 W DIVERSEY AVE
CHICAGO, IL 60639
",773-685-8759,,FALSE,FALSE
"4817 W FULLERTON AVE
CHICAGO, IL 60639
",773-889-7411,Store & photo only,FALSE,FALSE
"5650 W BELMONT AVE
CHICAGO, IL 60634
",773-777-4611,,FALSE,FALSE
"5935 W ADDISON ST
CHICAGO, IL 60634
",773-282-1594,,FALSE,FALSE
"Health System Pharmacy
331 W SURF ST
CHICAGO, IL 60657
",773-799-9839,Pharmacy only,FALSE,TRUE
"2440 W NORTH AVE
CHICAGO, IL 60647
",773-489-5607,This store is closed temporarily,TRUE,FALSE
"635 CHICAGO AVE
EVANSTON, IL 60202
",847-864-8120,,FALSE,FALSE
"2500 N CLARK ST
CHICAGO, IL 60614
",773-929-7488,,FALSE,FALSE
"1627 N PULASKI RD
CHICAGO, IL 60639
",773-772-5432,Store & photo only,FALSE,FALSE
"1601 N MILWAUKEE AVE
CHICAGO, IL 60647
",773-342-9161,,FALSE,FALSE
"900 DODGE AVE
EVANSTON, IL 60202
",847-475-7287,,FALSE,FALSE
"5600 W TOUHY AVE
NILES, IL 60714
",847-588-1704,,FALSE,FALSE
"4850 OAKTON ST
SKOKIE, IL 60077
",847-933-0418,,FALSE,FALSE
"834 W ARMITAGE AVE
CHICAGO, IL 60614
",773-687-0709,,FALSE,FALSE
"5600 W FULLERTON AVE
CHICAGO, IL 60639
",773-745-1640,Store & photo only,FALSE,FALSE
"1372 N MILWAUKEE AVE
CHICAGO, IL 60622
",773-772-0941,This store is closed temporarily,TRUE,FALSE
"6310 N NAGLE AVE
CHICAGO, IL 60646
",773-774-2225,,FALSE,FALSE
"4748 W NORTH AVE
CHICAGO, IL 60639
",773-745-6642,Store & photo only,FALSE,FALSE
"3945 DEMPSTER ST
SKOKIE, IL 60076
",847-674-5876,,FALSE,FALSE
"Walgreens at Seton Family Health Center
711 W NORTH AVE
CHICAGO, IL 60610
",312-944-0867,Pharmacy only,FALSE,TRUE
"7155 W FOSTER PL
CHICAGO, IL 60656
",773-631-3927,,FALSE,FALSE
"6809 W BELMONT AVE
CHICAGO, IL 60634
",773-237-6273,,FALSE,FALSE
"1546 N CENTRAL AVE
CHICAGO, IL 60651
",773-622-8185,Store & photo only,FALSE,FALSE
"1601 N WELLS ST
CHICAGO, IL 60614
",312-642-4008,This store is closed temporarily,TRUE,FALSE
"1650 W CHICAGO AVE
CHICAGO, IL 60622
",312-829-6186,,FALSE,FALSE
"4101 N HARLEM AVE
NORRIDGE, IL 60706
",708-457-0606,,FALSE,FALSE
"9150 SKOKIE BLVD
SKOKIE, IL 60077
",847-673-8063,,FALSE,FALSE
"2100 GREEN BAY RD
EVANSTON, IL 60201
",847-475-0996,,FALSE,FALSE
"1200 N DEARBORN ST
CHICAGO, IL 60610
",312-943-0973,This store is closed temporarily,TRUE,FALSE
"5730 DEMPSTER ST
MORTON GROVE, IL 60053
",847-583-9309,,FALSE,FALSE
"2828 N HARLEM AVE
ELMWOOD PARK, IL 60707
",708-583-0170,,FALSE,FALSE
"315 W CHICAGO AVE
CHICAGO, IL 60654
",312-280-1599,This store is closed temporarily,TRUE,FALSE
"933 N STATE ST
CHICAGO, IL 60610
",312-943-0671,This store is closed temporarily,TRUE,FALSE
"5753 N CANFIELD AVE
CHICAGO, IL 60631
",773-631-2851,,FALSE,FALSE
"2340 W MADISON ST
CHICAGO, IL 60612
",312-226-7913,This store is closed temporarily,TRUE,FALSE
"Walgreens Pharmacy at ACCESS Madison Family Health Center
3800 W MADISON ST
CHICAGO, IL 60624
",773-826-1817,Pharmacy only,FALSE,TRUE
"4009 OLD ORCHARD RD
SKOKIE, IL 60076
",847-256-1000,,FALSE,FALSE
"641 N CLARK ST
CHICAGO, IL 60654
",312-587-1416,This store is closed temporarily,TRUE,FALSE
"1051 W RANDOLPH
CHICAGO, IL 60607
",312-279-5500,Store & photo only,FALSE,FALSE
"757 N MICHIGAN AVE
CHICAGO, IL 60611
",312-664-8686,,FALSE,FALSE
"Walgreens Pharmacy at Northwestern Memorial Hospital-Galter
201 E HURON ST
CHICAGO, IL 60611
",312-951-1084,Pharmacy only,FALSE,TRUE
"Walgreens Pharmacy at Northwestern Outpatient Care Pavilion
259 E ERIE ST
CHICAGO, IL 60611
",312-649-6707,Pharmacy only,FALSE,TRUE
"5222 W MADISON ST
CHICAGO, IL 60644
",773-287-0380,,FALSE,FALSE
"7200 W NORTH AVE
ELMWOOD PARK, IL 60707
",708-456-8810,,FALSE,FALSE
"680 N LAKE SHORE DR
CHICAGO, IL 60611
",312-943-2224,,FALSE,FALSE
"8001 N MILWAUKEE AVE
NILES, IL 60714
",847-583-0409,,FALSE,FALSE
"410 N MICHIGAN AVE
CHICAGO, IL 60611
",312-321-0951,,FALSE,FALSE
"111 S HALSTED ST
CHICAGO, IL 60661
",312-463-9142,,FALSE,FALSE
"4820 N CUMBERLAND AVE
NORRIDGE, IL 60706
",708-583-2133,,FALSE,FALSE
"100 W RANDOLPH ST
CHICAGO, IL 60601
",312-525-3984,This store is closed temporarily,TRUE,FALSE
"800 DEVON AVE
PARK RIDGE, IL 60068
",847-825-7194,,FALSE,FALSE
"342 E ILLINOIS ST
CHICAGO, IL 60611
",312-467-0485,,FALSE,FALSE
"201 W MADISON ST
CHICAGO, IL 60606
",312-214-4385,This store is closed temporarily,TRUE,FALSE
"151 N STATE ST
CHICAGO, IL 60601
",312-863-4249,,FALSE,FALSE
"250 S WACKER DR
CHICAGO, IL 60606
",312-876-1363,This store is closed temporarily,TRUE,FALSE
"2 N STATE ST #1
CHICAGO, IL 60602
",312-332-0216,,FALSE,FALSE
"200 W ADAMS ST
CHICAGO, IL 60606
",312-372-0331,This store is closed temporarily,TRUE,FALSE
"8361 BELMONT AVE
RIVER GROVE, IL 60171
",708-452-8062,,FALSE,FALSE
"5932 W CERMAK RD
CICERO, IL 60804
",708-652-4856,,FALSE,FALSE
"4800 W CERMAK RD
CICERO, IL 60804
",708-863-7734,,FALSE,FALSE
"5840 W 35TH ST
CICERO, IL 60804
",708-780-7513,,FALSE,FALSE
"Health System Pharmacy
3040 S CICERO AVE
CICERO, IL 60804
",708-391-2118,Pharmacy only,FALSE,TRUE
"6412 ROOSEVELT RD
OAK PARK, IL 60304
",708-386-9359,,FALSE,FALSE
"Walgreens Pharmacy at MacNeal Hospital
3249 S OAK PARK AVE
BERWYN, IL 60402
",708-484-6693,Pharmacy only,FALSE,TRUE
"7113 CERMAK RD
BERWYN, IL 60402
",708-795-9030,,FALSE,FALSE
"6800 OGDEN AVE
BERWYN, IL 60402
",708-749-9061,,FALSE,FALSE
"4005 W 26TH ST
CHICAGO, IL 60623
",773-521-9504,This store is closed temporarily,TRUE,FALSE
"7200 ROOSEVELT RD
FOREST PARK, IL 60130
",708-366-9534,,FALSE,FALSE
"811 MADISON ST
OAK PARK, IL 60302
",708-383-9009,,FALSE,FALSE
"Walgreens Pharmacy at ACCESS Servicios Medicos La Villita
3303 W 26TH ST
CHICAGO, IL 60623
",773-521-1718,Pharmacy only,FALSE,TRUE
"3401 W ROOSEVELT RD
CHICAGO, IL 60624
",773-542-1232,Store & photo only,FALSE,FALSE
"3045 W 26TH ST
CHICAGO, IL 60623
",773-254-3316,,FALSE,FALSE
"7251 LAKE ST
RIVER FOREST, IL 60305
",708-366-9960,,FALSE,FALSE
"3943 W 47TH ST
CHICAGO, IL 60632
",773-927-0523,This store is closed temporarily,TRUE,FALSE
"5414 S ARCHER AVE
CHICAGO, IL 60638
",773-581-1664,,FALSE,FALSE
"5874 S ARCHER AVE
CHICAGO, IL 60638
",773-284-7419,,FALSE,FALSE
"4385 S ARCHER AVE
CHICAGO, IL 60632
",773-247-6804,This store is closed temporarily,TRUE,FALSE
"4101 1ST AVE
LYONS, IL 60534
",708-447-6851,,FALSE,FALSE
"7150 W ARCHER AVE
CHICAGO, IL 60638
",773-229-1447,,FALSE,FALSE
"8000 BROADVIEW VILLAGE SQ
BROADVIEW, IL 60155
",708-410-2957,,FALSE,FALSE
"100 LAKE ST
MAYWOOD, IL 60153
",708-344-9885,,FALSE,FALSE
"1600 W ROOSEVELT RD
BROADVIEW, IL 60155
",708-343-5323,,FALSE,FALSE
"1931 W CERMAK RD
CHICAGO, IL 60608
",773-847-5781,,FALSE,FALSE
"4000 W 59TH ST
CHICAGO, IL 60629
",773-581-2345,This store is closed temporarily,TRUE,FALSE
"6016 W 63RD ST
CHICAGO, IL 60638
",773-788-0180,,FALSE,FALSE
"1926 W 35TH ST
CHICAGO, IL 60609
",773-254-5523,,FALSE,FALSE
"5435 S KEDZIE AVE
CHICAGO, IL 60632
",773-436-7396,This store is closed temporarily,TRUE,FALSE
"4710 S WESTERN AVE
CHICAGO, IL 60609
",773-579-0366,,FALSE,FALSE
"2 N LA GRANGE RD
LA GRANGE, IL 60525
",708-352-3116,,FALSE,FALSE
"6315 S KEDZIE AVE
CHICAGO, IL 60629
",773-776-4040,This store is closed temporarily,TRUE,FALSE
"1614 W 47TH ST
CHICAGO, IL 60609
",773-247-3051,Store & photo only,FALSE,FALSE
"10345 W ROOSEVELT RD
WESTCHESTER, IL 60154
",708-681-4034,,FALSE,FALSE
"1445 W NORTH AVE
MELROSE PARK, IL 60160
",708-345-6080,,FALSE,FALSE
"3000 S HALSTED ST
CHICAGO, IL 60608
",312-225-0537,,FALSE,FALSE
"7045 S PULASKI RD
CHICAGO, IL 60629
",773-735-0337,,FALSE,FALSE
"501 W ROOSEVELT RD
CHICAGO, IL 60607
",312-492-8559,This store is closed temporarily,TRUE,FALSE
"316 W CERMAK RD
CHICAGO, IL 60616
",312-791-0392,This store is closed temporarily,TRUE,FALSE
"4700 S HALSTED ST
CHICAGO, IL 60609
",773-927-8777,Store & photo only,FALSE,FALSE
"2151 S WOLF RD
HILLSIDE, IL 60162
",708-562-6105,,FALSE,FALSE
"5555 W 79TH ST
BURBANK, IL 60459
",708-499-3755,,FALSE,FALSE
"4700 GILBERT AVE
WESTERN SPRINGS, IL 60558
",708-246-5120,,FALSE,FALSE
"7878 S HARLEM AVE
BRIDGEVIEW, IL 60455
",708-496-7806,,FALSE,FALSE
"7111 S WESTERN AVE
CHICAGO, IL 60636
",773-863-8009,This store is closed temporarily,TRUE,FALSE
"4730 BUTTERFIELD RD
HILLSIDE, IL 60162
",708-547-6316,,FALSE,FALSE
"2 E ROOSEVELT RD
CHICAGO, IL 60605
",312-212-1583,This store is closed temporarily,TRUE,FALSE
"79 W MONROE ST
CHICAGO, IL 60603
",312-346-5727,This store is closed temporarily,TRUE,FALSE
"9595 GRAND AVE
FRANKLIN PARK, IL 60131
",847-455-6876,,FALSE,FALSE
"122 S MICHIGAN AVE
CHICAGO, IL 60603
",312-973-3708,This store is closed temporarily,TRUE,FALSE
"30 N MICHIGAN AVE
CHICAGO, IL 60602
",312-332-3540,This store is closed temporarily,TRUE,FALSE
"3405 S KING DR
CHICAGO, IL 60616
",312-326-4058,This store is closed temporarily,TRUE,FALSE
"Access Community Health
5401 S WENTWORTH
CHICAGO, IL 60609
",773-268-5664,Pharmacy only,FALSE,TRUE
"1213 W 79TH ST
CHICAGO, IL 60620
",773-651-2118,This store is closed temporarily,TRUE,FALSE
"1633 W 95TH ST
CHICAGO, IL 60643
",773-445-9277,This store is closed temporarily,TRUE,FALSE
"8700 S KEDZIE AVE
EVERGREEN PARK, IL 60805
",708-499-8051,,FALSE,FALSE
"11 E 75TH ST
CHICAGO, IL 60619
",773-224-1211,This store is closed temporarily,TRUE,FALSE
"650 W 63RD ST
CHICAGO, IL 60621
",773-994-4467,This store is closed temporarily,TRUE,FALSE
"2345 W 103RD ST
CHICAGO, IL 60643
",773-429-0767,,FALSE,FALSE
"8628 S COTTAGE GROVE AVE
CHICAGO, IL 60619
",773-651-8500,This store is closed temporarily,TRUE,FALSE
"3959 W 95TH ST
EVERGREEN PARK, IL 60805
",708-857-7922,,FALSE,FALSE
"10300 S MICHIGAN AVE
CHICAGO, IL 60628
",773-468-0602,This store is closed temporarily,TRUE,FALSE
"Walgreens Pharmacy at Advocate Christ Medical Center
4440 W 95TH ST
OAK LAWN, IL 60453
",708-857-1935,Pharmacy only,FALSE,TRUE
"8701 S CICERO AVE
HOMETOWN, IL 60456
",708-423-6430,,FALSE,FALSE
"4740 W 95TH ST
OAK LAWN, IL 60453
",708-425-6960,,FALSE,FALSE
"3220 W 111TH ST
CHICAGO, IL 60655
",773-239-2808,,FALSE,FALSE
"1616 E 87TH ST
CHICAGO, IL 60617
",773-978-7174,This store is closed temporarily,TRUE,FALSE
"833 W 115TH ST
CHICAGO, IL 60643
",773-568-4034,This store is closed temporarily,TRUE,FALSE
"1533 E 67TH ST
CHICAGO, IL 60637
",773-493-0733,This store is closed temporarily,TRUE,FALSE
"2015 E 79TH ST
CHICAGO, IL 60649
",773-734-2492,This store is closed temporarily,TRUE,FALSE
"11833 S WESTERN AVE
CHICAGO, IL 60643
",773-233-2245,This store is closed temporarily,TRUE,FALSE
"7109 S JEFFERY BLVD
CHICAGO, IL 60649
",773-324-1880,,FALSE,FALSE
"10639 S CICERO AVE
OAK LAWN, IL 60453
",708-424-3594,,FALSE,FALSE
"5036 S COTTAGE GROVE AVE
CHICAGO, IL 60615
",773-373-6266,This store is closed temporarily,TRUE,FALSE
"1554 E 55TH ST
CHICAGO, IL 60615
",773-667-1177,This store is closed temporarily,TRUE,FALSE
"Community Pharmacy
2351 E 71ST ST
CHICAGO, IL 60649
",773-358-4135,Pharmacy only,FALSE,TRUE
"6001 W 95TH ST
OAK LAWN, IL 60453
",708-636-5615,,FALSE,FALSE
"1320 E 47TH ST
CHICAGO, IL 60653
",773-373-6147,This store is closed temporarily,TRUE,FALSE
"12290 S PULASKI RD
ALSIP, IL 60803
",708-385-2006,,FALSE,FALSE
"12854 S ASHLAND AVE
CALUMET PARK, IL 60827
",708-239-1136,,FALSE,FALSE
"9148 S COMMERCIAL AVE
CHICAGO, IL 60617
",773-721-6603,This store is closed temporarily,TRUE,FALSE
"8715 S HARLEM AVE
BRIDGEVIEW, IL 60455
",708-598-2511,,FALSE,FALSE
"6430 W 111TH ST
WORTH, IL 60482
",708-448-2540,,FALSE,FALSE
"3611 E 106TH ST
CHICAGO, IL 60617
",773-978-1988,This store is closed temporarily,TRUE,FALSE
"13501 CICERO AVE
CRESTWOOD, IL 60418
",708-396-1280,,FALSE,FALSE
"7945 W 95TH ST
HICKORY HILLS, IL 60457
",708-599-5603,,FALSE,FALSE
"11801 S AVENUE O
CHICAGO, IL 60617
",773-731-2147,,FALSE,FALSE
"12659 S RIDGELAND AVE
PALOS HEIGHTS, IL 60463
",708-385-0218,,FALSE,FALSE
"11053 SOUTHWEST HWY
PALOS HILLS, IL 60465
",708-974-0532,,FALSE,FALSE
"3145 W 147TH ST
POSEN, IL 60469
",708-385-8922,,FALSE,FALSE
"14700 HALSTED ST
HARVEY, IL 60426
",708-333-3572,,FALSE,FALSE
"8800 W 95TH ST
HICKORY HILLS, IL 60457
",708-598-3271,,FALSE,FALSE
"4800 148TH ST
MIDLOTHIAN, IL 60445
",708-687-1604,,FALSE,FALSE
"1150 E SIBLEY BLVD
DOLTON, IL 60419
",708-841-7860,This store is closed temporarily,TRUE,FALSE
"1939 INDIANAPOLIS BLVD
WHITING, IN 46394
",219-659-3541,,FALSE,FALSE
"410 N MICHIGAN AVE
CHICAGO, IL 60611
1",312-321-0951,,FALSE,FALSE
"6412 ROOSEVELT RD
OAK PARK, IL 60304
1",708-386-9359,,FALSE,FALSE
"15940 KEDZIE AVE
MARKHAM, IL 60428
1",708-339-1184,,FALSE,FALSE
"342 E ILLINOIS ST
CHICAGO, IL 60611
1",312-467-0485,,FALSE,FALSE
"5222 W MADISON ST
CHICAGO, IL 60644
1",773-287-0380,,FALSE,FALSE
"1650 W CHICAGO AVE
CHICAGO, IL 60622
1",312-829-6186,,FALSE,FALSE
"641 N CLARK ST
CHICAGO, IL 60654
1",312-587-1416,This store is closed temporarily,TRUE,FALSE
"522 TORRENCE AVE
CALUMET CITY, IL 60409
1",708-868-5669,This store is closed temporarily,TRUE,FALSE
"1403 WAUKEGAN RD
GLENVIEW, IL 60025
",847-998-1442,,FALSE,FALSE
"3301 GLENVIEW RD
GLENVIEW, IL 60025
",847-724-0759,,FALSE,FALSE
"2871 PFINGSTEN RD
GLENVIEW, IL 60026
",847-559-9227,,FALSE,FALSE
"2690 GOLF RD
GLENVIEW, IL 60025
",847-657-9863,,FALSE,FALSE
"1825 WILLOW RD
NORTHFIELD, IL 60093
",847-784-8032,,FALSE,FALSE
"Community Pharmacy
4339 DI PAOLO CTR
GLENVIEW, IL 60025
",847-299-1920,Pharmacy only,FALSE,TRUE
"1050 WAUKEGAN RD
NORTHBROOK, IL 60062
",847-272-3155,,FALSE,FALSE
"9301 WAUKEGAN RD
MORTON GROVE, IL 60053
",847-965-2444,,FALSE,FALSE
"3232 LAKE AVE
WILMETTE, IL 60091
",847-251-1413,,FALSE,FALSE
"9000 N GREENWOOD AVE
NILES, IL 60714
",847-298-3050,,FALSE,FALSE
"Walgreens Pharmacy at Advocate Lutheran General Hospital
1775 W DEMPSTER
PARK RIDGE, IL 60068
",847-692-2184,Pharmacy only,FALSE,TRUE
"353 PARK AVE
GLENCOE, IL 60022
",847-835-0387,,FALSE,FALSE
"925 GREEN BAY RD
WINNETKA, IL 60093
",847-835-8417,,FALSE,FALSE
"1701 E KENSINGTON RD
MOUNT PROSPECT, IL 60056
",847-635-9962,,FALSE,FALSE
"1378 MINER ST
DES PLAINES, IL 60016
",847-296-3958,,FALSE,FALSE
"Walgreens Pharmacy at ACCESS Comm Health Ctr-Des Plaines
1 N BROADWAY ST
DES PLAINES, IL 60016
",847-827-7556,Pharmacy only,FALSE,TRUE
"632 ROGER WILLIAMS AVE
HIGHLAND PARK, IL 60035
",847-432-8170,,FALSE,FALSE
"780 WAUKEGAN RD
DEERFIELD, IL 60015
",847-945-0611,,FALSE,FALSE
"21 RAND RD
DES PLAINES, IL 60016
",847-827-9659,,FALSE,FALSE
"1858 E OAKTON ST
DES PLAINES, IL 60018
",847-299-6611,,FALSE,FALSE
"10 N MILWAUKEE AVE
WHEELING, IL 60090
",847-215-8346,,FALSE,FALSE
"901 W TOUHY AVE
PARK RIDGE, IL 60068
",847-384-0125,,FALSE,FALSE
"811 GREEN BAY RD
WILMETTE, IL 60091
",847-256-0881,,FALSE,FALSE
"1 N ELMHURST RD
PROSPECT HEIGHTS, IL 60070
",847-398-4673,,FALSE,FALSE
"17 W GOLF RD
DES PLAINES, IL 60016
",847-296-5145,,FALSE,FALSE
"655 ELM PL
HIGHLAND PARK, IL 60035
",847-266-8520,,FALSE,FALSE
"1028 S ELMHURST RD
MOUNT PROSPECT, IL 60056
",847-437-1858,,FALSE,FALSE
"1199 W DUNDEE RD
WHEELING, IL 60090
",847-465-8682,,FALSE,FALSE
"2501 WAUKEGAN RD
BANNOCKBURN, IL 60015
",847-940-8104,,FALSE,FALSE
"320 WAUKEGAN AVE
HIGHWOOD, IL 60040
",847-433-5138,,FALSE,FALSE
"1000 E NORTHWEST HWY
ARLINGTON HEIGHTS, IL 60004
",847-259-4646,,FALSE,FALSE
"235 E PALATINE RD
ARLINGTON HEIGHTS, IL 60004
",847-394-2420,,FALSE,FALSE
"15 N BUFFALO GROVE RD
BUFFALO GROVE, IL 60089
",847-520-7220,,FALSE,FALSE
"3 E GOLF RD
ARLINGTON HEIGHTS, IL 60005
",847-593-6650,,FALSE,FALSE
"1225 W DUNDEE RD
BUFFALO GROVE, IL 60089
",847-368-1998,,FALSE,FALSE
"1711 W CAMPBELL ST
ARLINGTON HEIGHTS, IL 60005
",847-577-7099,,FALSE,FALSE
"225 MILWAUKEE AVE
LINCOLNSHIRE, IL 60069
",847-913-1627,,FALSE,FALSE
"1701 N BUFFALO GROVE RD
BUFFALO GROVE, IL 60089
",847-955-9361,,FALSE,FALSE
"9800 IRVING PARK RD
SCHILLER PARK, IL 60176
",847-233-0576,,FALSE,FALSE
"4040 N CICERO AVE
CHICAGO, IL 60641
1",773-283-5321,This store is closed temporarily,TRUE,FALSE
"5935 W ADDISON ST
CHICAGO, IL 60634
1",773-282-1594,,FALSE,FALSE
"5158 N LINCOLN AVE
CHICAGO, IL 60625
1",773-907-8490,,FALSE,FALSE
"4001 W IRVING PARK RD
CHICAGO, IL 60641
1",773-685-3527,This store is closed temporarily,TRUE,FALSE
"6121 N BROADWAY ST
CHICAGO, IL 60660
1",773-764-8961,,FALSE,FALSE
"6809 W BELMONT AVE
CHICAGO, IL 60634
1",773-237-6273,,FALSE,FALSE
"4343 N KEDZIE AVE
CHICAGO, IL 60618
1",773-604-4419,,FALSE,FALSE
"8361 BELMONT AVE
RIVER GROVE, IL 60171
1",708-452-8062,,FALSE,FALSE
"4801 N LINCOLN AVE
CHICAGO, IL 60625
1",773-561-2526,,FALSE,FALSE
"5 W IRVING PARK RD
BENSENVILLE, IL 60106
1",630-350-1178,,FALSE,FALSE
"5650 W BELMONT AVE
CHICAGO, IL 60634
1",773-777-4611,,FALSE,FALSE
"5440 N CLARK ST
CHICAGO, IL 60640
1",773-596-5022,,FALSE,FALSE
"12 N NORTHWEST HWY
PALATINE, IL 60067
",847-359-3624,,FALSE,FALSE
"296 E DEERPATH
LAKE FOREST, IL 60045
1",847-234-2413,,FALSE,FALSE
"5625 N RIDGE AVE
CHICAGO, IL 60660
1",773-989-7546,,FALSE,FALSE
"2828 N HARLEM AVE
ELMWOOD PARK, IL 60707
1",708-583-0170,,FALSE,FALSE
"3153 W IRVING PARK RD
CHICAGO, IL 60618
1",773-588-9196,,FALSE,FALSE
"4745 W BELMONT AVE
CHICAGO, IL 60641
1",773-481-0211,Store & photo only,FALSE,FALSE
"930 ELK GROVE TOWN CTR
ELK GROVE VILLAGE, IL 60007
1",847-439-4710,,FALSE,FALSE
"Walgreens Pharmacy at Lake Forest Hospital
1000 N WESTMORELAND RD
LAKE FOREST, IL 60045
1",847-810-8441,Pharmacy only,FALSE,TRUE
"375 E DUNDEE RD
PALATINE, IL 60074
1",847-934-5741,,FALSE,FALSE
"9595 GRAND AVE
FRANKLIN PARK, IL 60131
1",847-455-6876,,FALSE,FALSE
"5140 W DIVERSEY AVE
CHICAGO, IL 60639
1",773-685-8759,,FALSE,FALSE
"3222 N MILWAUKEE AVE
CHICAGO, IL 60618
1",773-481-5876,,FALSE,FALSE
"1500 W WILSON AVE
CHICAGO, IL 60640
1",773-907-8995,,FALSE,FALSE
"2301 W IRVING PARK RD
CHICAGO, IL 60618
1",773-267-8410,,FALSE,FALSE
"3424 W BELMONT AVE
CHICAGO, IL 60618
1",773-267-2328,,FALSE,FALSE
"5600 W FULLERTON AVE
CHICAGO, IL 60639
1",773-745-1640,Store & photo only,FALSE,FALSE
"4817 W FULLERTON AVE
CHICAGO, IL 60639
1",773-889-7411,Store & photo only,FALSE,FALSE
"4720 N MARINE DR
CHICAGO, IL 60640
1",773-769-1315,,FALSE,FALSE
"3358 N WESTERN AVE
CHICAGO, IL 60618
1",773-327-2111,,FALSE,FALSE
"805 W EUCLID AVE
PALATINE, IL 60067
1",847-303-5642,,FALSE,FALSE
"1325 E IRVING PARK RD
ITASCA, IL 60143
1",630-875-0244,,FALSE,FALSE
"7200 W NORTH AVE
ELMWOOD PARK, IL 60707
1",708-456-8810,,FALSE,FALSE
"Walgreens Pharmacy at Howard Brown Health Center
4025 N SHERIDAN RD
CHICAGO, IL 60613
1",773-528-8314,Pharmacy only,FALSE,TRUE
